1A02: [['Q13469', 'P01100'], ['Q13469', 'P05412'], ['P01100', 'P05412']]
7K1K: [['P78527', 'P12956'], ['P78527', 'P13010'], ['P12956', 'P13010']]
7K1N: [['P78527', 'P12956'], ['P78527', 'P13010'], ['P12956', 'P13010']]
7K7L: [['P25098', 'P62873'], ['P25098', 'P59768'], ['P62873', 'P59768']]
7K7Z: [['P25098', 'P62873'], ['P25098', 'P59768'], ['P62873', 'P59768']]
7K80: [['A0A5H2UYS3', 'P61769'], ['A0A5H2UYS3', 'P43629'], ['P61769', 'P43629']]
7K81: [['P61769', 'P43629'], ['P61769', 'A0A5H2UYS3'], ['P43629', 'A0A5H2UYS3']]
7KD6: [['P01308', 'P06213'], ['P01308', 'P06213'], ['P06213', 'P06213']]
7KNU: [['O60894', 'P06881'], ['O60894', 'Q16602'], ['P06881', 'Q16602']]
7KRJ: [['P07900', 'Q15185'], ['P07900', 'P04150'], ['Q15185', 'P04150']]
7L0P: [['P63096', 'P62873'], ['P63096', 'P63211'], ['P62873', 'P63211']]
7L0Q: [['P63096', 'P62873'], ['P63096', 'P63211'], ['P62873', 'P63211']]
7L0R: [['P63096', 'P62873'], ['P63096', 'P63211'], ['P62873', 'P63211']]
7L0S: [['P63096', 'P62873'], ['P63096', 'P63211'], ['P62873', 'P63211']]
7L1B: [['P04439', 'P61769'], ['P04439', 'P42336'], ['P61769', 'P42336']]
7L1C: [['P04439', 'P61769'], ['P04439', 'P42336'], ['P61769', 'P42336']]
7L1D: [['P04439', 'P61769'], ['P04439', 'P42336'], ['P61769', 'P42336']]
7L1V: [['P62873', 'P59768'], ['P62873', 'O43614'], ['P59768', 'O43614']]
7L7I: [['Q13451', 'P07900'], ['Q13451', 'Q15185'], ['P07900', 'Q15185']]
7LF4: [['O00629', 'P19838'], ['O00629', 'Q04206'], ['P19838', 'Q04206']]
7LPS: [['Q96SW2', 'Q9UKS7'], ['Q96SW2', 'Q16531'], ['Q9UKS7', 'Q16531']]
7M6J: [['Q15019', 'Q14141'], ['Q15019', 'Q16181'], ['Q14141', 'Q16181']]
7M6T: [['O14508', 'Q15370'], ['O14508', 'Q15369'], ['Q15370', 'Q15369']]
7M74: [['Q13131', 'O43741'], ['Q13131', 'P54619'], ['O43741', 'P54619']]
7MFD: [['P15056', 'Q02750'], ['P15056', 'P63104'], ['Q02750', 'P63104']]
7MIX: [['Q00975', 'P54289'], ['Q00975', 'P54284'], ['P54289', 'P54284']]
7MIY: [['Q00975', 'P54284'], ['Q00975', 'P54289'], ['P54284', 'P54289']]
7MJ6: [['A0A140T913', 'P61769'], ['A0A140T913', 'Q8WX77'], ['P61769', 'Q8WX77']]
7MJ7: [['A0A140T913', 'P61769'], ['A0A140T913', 'Q8WX77'], ['P61769', 'Q8WX77']]
7MJ8: [['A0A140T913', 'P61769'], ['A0A140T913', 'Q8WX77'], ['P61769', 'Q8WX77']]
7MJ9: [['A0A140T913', 'P61769'], ['A0A140T913', 'Q8WX77'], ['P61769', 'Q8WX77']]
7MJA: [['A0A5H2UYS3', 'P61769'], ['A0A5H2UYS3', 'Q99453'], ['P61769', 'Q99453']]
7MQO: [['P01308', 'P01308'], ['P01308', 'P06213'], ['P01308', 'P06213']]
7MQR: [['P01308', 'P01308'], ['P01308', 'P06213'], ['P01308', 'P06213']]
7MQS: [['P06213', 'P01308'], ['P06213', 'P01308'], ['P01308', 'P01308']]
7MRZ: [['O95390', 'Q13705'], ['O95390', ' P36896'], ['Q13705', ' P36896']]
7MX2: [['Q5VZE5', 'Q9BRA0'], ['Q5VZE5', 'Q147X3'], ['Q9BRA0', 'Q147X3']]
7MYF: [['P61086', 'P0CG47'], ['P61086', 'P0CG48'], ['P0CG47', 'P0CG48']]
7MYJ: [['P54646', 'Q9Y478'], ['P54646', 'P54619'], ['Q9Y478', 'P54619']]
7N2N: [['O43395', 'A3F718'], ['O43395', 'P61769'], ['A3F718', 'P61769']]
7N2O: [['P62723', 'A3F718'], ['P62723', 'P61769'], ['A3F718', 'P61769']]
7N2P: [['A3F718', 'P61769'], ['A3F718', 'A0A2R8Y7R8'], ['P61769', 'A0A2R8Y7R8']]
7N2R: [['A3F718', 'P61769'], ['A3F718', 'O43395'], ['P61769', 'O43395']]
7N2S: [['O43395', 'A3F718'], ['O43395', 'P61769'], ['A3F718', 'P61769']]
7N40: [['Q09028', 'Q5TKA1'], ['Q09028', 'Q96GY3'], ['Q5TKA1', 'Q96GY3']]
7ND2: [['Q6ZMI0', 'O95825'], ['Q6ZMI0', 'Q8NB37'], ['O95825', 'Q8NB37']]
7NDG: [['O95631', 'Q6NW40'], ['O95631', 'Q6NW40'], ['Q6NW40', 'Q6NW40']]
7NE0: [['O95631', 'Q6NW40'], ['O95631', 'Q6NW40'], ['Q6NW40', 'Q6NW40']]
7NMG: [['A0A5H2UYS3', 'P61769'], ['A0A5H2UYS3', 'P01308'], ['P61769', 'P01308']]
7NWL: [['P05556', 'P02751'], ['P05556', 'P08648'], ['P02751', 'P08648']]
7NZE: [['A2BFX2', 'P01903'], ['A2BFX2', 'P02458'], ['P01903', 'P02458']]
7O7F: [['P63096', 'P51681'], ['P63096', 'P13501'], ['P51681', 'P13501']]
7OAT: [['Q9BZE9', 'P55072'], ['Q9BZE9', 'Q9H867'], ['P55072', 'Q9H867']]
7OKX: [['O00472', 'Q96JC9'], ['O00472', 'O00267'], ['Q96JC9', 'O00267']]
7OLY: [['P08476', 'Q13705'], ['P08476', 'P36896'], ['Q13705', 'P36896']]
7ONU: [['Q99714', 'O15091'], ['Q99714', 'Q7L0Y3'], ['O15091', 'Q7L0Y3']]
7OOB: [['Q03468', 'Q16531'], ['Q03468', 'Q13216'], ['Q16531', 'Q13216']]
7OPI: [['Q9BWJ5', 'O75533'], ['Q9BWJ5', 'Q7RTV0'], ['O75533', 'Q7RTV0']]
7OS2: [['O75643', 'Q9NZ63'], ['O75643', 'Q6P2Q9'], ['Q9NZ63', 'Q6P2Q9']]
7OW3: [['P61769', 'P01111'], ['P61769', 'A0A583ZB34'], ['P01111', 'A0A583ZB34']]
7OW4: [['A0A583ZB34', 'P61769'], ['A0A583ZB34', 'P01111'], ['P61769', 'P01111']]
7OW5: [['A0A583ZB34', 'P61769'], ['A0A583ZB34', 'P01111'], ['P61769', 'P01111']]
7OW6: [['P61769', 'P01111'], ['P61769', 'A0A583ZB34'], ['P01111', 'A0A583ZB34']]
7PB2: [['A0A583ZB34', 'P61769'], ['A0A583ZB34', 'P01111'], ['P61769', 'P01111']]
7PB4: [['Q9H3R5', 'Q92674'], ['Q9H3R5', 'Q9BS16'], ['Q92674', 'Q9BS16']]
7PBC: [['Q861F7', 'P61769'], ['Q861F7', 'P43363'], ['P61769', 'P43363']]
7PBD: [['P14867', 'P14867'], ['P14867', 'P28472'], ['P14867', 'P28472']]
7PBZ: [['P28472', 'P14867'], ['P28472', 'P14867'], ['P14867', 'P14867']]
7PC0: [['P28472', 'P14867'], ['P28472', 'P14867'], ['P14867', 'P14867']]
7PDW: [['P61769', 'P43363'], ['P61769', 'Q861F7'], ['P43363', 'Q861F7']]
7PG0: [['P06213', 'P01308'], ['P06213', 'P01308'], ['P01308', 'P01308']]
7PG2: [['P06213', 'P01308'], ['P06213', 'P01308'], ['P01308', 'P01308']]
7PG3: [['P06213', 'P01308'], ['P06213', 'P01308'], ['P01308', 'P01308']]
7PG4: [['P06213', 'P01308'], ['P06213', 'P01308'], ['P01308', 'P01308']]
7PPC: [['O95393', 'P37023'], ['O95393', 'Q13873'], ['P37023', 'Q13873']]
7PW4: [['Q96Q15', 'Q8ND04'], ['Q96Q15', 'Q9H0W8'], ['Q8ND04', 'Q9H0W8']]
7PW5: [['Q96Q15', 'Q8ND04'], ['Q96Q15', 'Q9H0W8'], ['Q8ND04', 'Q9H0W8']]
7PW8: [['Q96Q15', 'Q8ND04'], ['Q96Q15', 'Q9H0W8'], ['Q8ND04', 'Q9H0W8']]
7PX3: [['O75643', 'Q6P2Q9'], ['O75643', 'Q9Y5U2'], ['Q6P2Q9', 'Q9Y5U2']]
7Q0B: [['P13807', 'P13807'], ['P13807', 'P46976'], ['P13807', 'P46976']]
7Q0S: [['P13807', 'P13807'], ['P13807', 'P46976'], ['P13807', 'P46976']]
7Q15: [['P55899', 'P61769'], ['P55899', 'P01857'], ['P61769', 'P01857']]
7Q3D: [['O95876', 'Q9BT04'], ['O95876', 'Q9ULD6'], ['Q9BT04', 'Q9ULD6']]
7Q98: [['A0A140T913', 'P61769'], ['A0A140T913', 'Q9Y6M1'], ['P61769', 'Q9Y6M1']]
7Q99: [['A0A140T913', 'P61769'], ['A0A140T913', 'Q9Y6M1'], ['P61769', 'Q9Y6M1']]
7Q9A: [['A0A140T913', 'P61769'], ['A0A140T913', 'Q10589'], ['P61769', 'Q10589']]
7QDR: [['Q15477', 'Q6PGP7'], ['Q15477', 'Q9GZS3'], ['Q6PGP7', 'Q9GZS3']]
7QDS: [['Q15477', 'Q6PGP7'], ['Q15477', 'Q9GZS3'], ['Q6PGP7', 'Q9GZS3']]
7QDY: [['Q15477', 'Q6PGP7'], ['Q15477', 'Q9GZS3'], ['Q6PGP7', 'Q9GZS3']]
7QDZ: [['Q6PGP7', 'Q15477'], ['Q6PGP7', 'Q9GZS3'], ['Q15477', 'Q9GZS3']]
7QN5: [['P48169', 'P28472'], ['P48169', 'O14764'], ['P28472', 'O14764']]
7QN7: [['P48169', 'P28472'], ['P48169', 'O14764'], ['P28472', 'O14764']]
7QN9: [['P48169', 'P28472'], ['P48169', 'O14764'], ['P28472', 'O14764']]
7QNA: [['P48169', 'P28472'], ['P48169', 'P18507'], ['P28472', 'P18507']]
7QNC: [['P48169', 'P28472'], ['P48169', 'O14764'], ['P28472', 'O14764']]
7QNE: [['P14867', 'P28472'], ['P14867', 'P18507'], ['P28472', 'P18507']]
7QNG: [['O15533', 'P30101'], ['O15533', 'P61769'], ['P30101', 'P61769']]
7QO1: [['P39748', 'P18858'], ['P39748', 'P12004'], ['P18858', 'P12004']]
7QPG: [['Q9H900', 'P50748'], ['Q9H900', 'O43264'], ['P50748', 'O43264']]
7QPJ: [['A0A140T913', 'P61769'], ['A0A140T913', 'P43363'], ['P61769', 'P43363']]
7QZR: [['P05164', 'P05164'], ['P05164', 'P05164'], ['P05164', 'P05164']]
7R0C: [['P30518', 'P01185'], ['P30518', 'P49407'], ['P01185', 'P49407']]
7R1D: [['Q5TKA1', 'Q09028'], ['Q5TKA1', 'Q96GY3'], ['Q09028', 'Q96GY3']]
7RAN: [['P28223', 'P62873'], ['P28223', 'P59768'], ['P62873', 'P59768']]
7RE7: [['A0A140T913', 'P61769'], ['A0A140T913', 'P02771'], ['P61769', 'P02771']]
7RE8: [['A0A140T913', 'P61769'], ['A0A140T913', 'P02771'], ['P61769', 'P02771']]
7RK7: [['P04439', 'P61769'], ['P04439', 'P14679'], ['P61769', 'P14679']]
7RKX: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7RKY: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7RM4: [['P61769', 'P04439'], ['P61769', 'P04637'], ['P04439', 'P04637']]
7RRG: [['P04439', 'P61769'], ['P04439', 'P42336'], ['P61769', 'P42336']]
7RTK: [['Q9Y697', 'Q9HD34'], ['Q9Y697', 'Q9H1K1'], ['Q9HD34', 'Q9H1K1']]
7RU9: [['Q7L5D6', 'P46379'], ['Q7L5D6', 'P11441'], ['P46379', 'P11441']]
7RUA: [['Q7L5D6', 'P46379'], ['Q7L5D6', 'P11441'], ['P46379', 'P11441']]
7RUC: [['Q7L5D6', 'P46379'], ['Q7L5D6', 'P11441'], ['P46379', 'P11441']]
7RZD: [['P01889', 'P61769'], ['P01889', 'Q03164'], ['P61769', 'Q03164']]
7RZE: [['P01308', 'P14735'], ['P01308', 'P01308'], ['P14735', 'P01308']]
7RZF: [['P14735', 'P01308'], ['P14735', 'P01308'], ['P01308', 'P01308']]
7RZI: [['P14735', 'P01308'], ['P14735', 'P01308'], ['P01308', 'P01308']]
7RZJ: [['P01889', 'P61769'], ['P01889', 'Q03164'], ['P61769', 'Q03164']]
7S0Q: [['P08069', 'P06213'], ['P08069', 'P05019'], ['P06213', 'P05019']]
7S79: [['P01889', 'P61769'], ['P01889', 'Q03164'], ['P61769', 'Q03164']]
7S7B: [['P42285', 'Q6NZY4'], ['P42285', 'Q9Y580'], ['Q6NZY4', 'Q9Y580']]
7S7C: [['P42285', 'Q6NZY4'], ['P42285', 'Q9Y580'], ['Q6NZY4', 'Q9Y580']]
7S7D: [['P01889', 'P61769'], ['P01889', 'Q03164'], ['P61769', 'Q03164']]
7S7E: [['P01889', 'P61769'], ['P01889', 'Q8TEK3'], ['P61769', 'Q8TEK3']]
7S7F: [['P01889', 'P61769'], ['P01889', 'Q8TEK3'], ['P61769', 'Q8TEK3']]
7S81: [['P09874', 'P09874'], ['P09874', 'P09874'], ['P09874', 'P09874']]
7S8A: [['P01889', 'P61769'], ['P01889', 'Q03164'], ['P61769', 'Q03164']]
7S8E: [['P01889', 'P61769'], ['P01889', 'Q03164'], ['P61769', 'Q03164']]
7S8F: [['P01889', 'P61769'], ['P01889', 'Q03164'], ['P61769', 'Q03164']]
7S8N: [['P62873', 'P59768'], ['P62873', 'Q96LB1'], ['P59768', 'Q96LB1']]
7S8O: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7SBF: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7SCG: [['P62873', 'P59768'], ['P62873', 'P63096'], ['P59768', 'P63096']]
7SD0: [['Q9UQ13', 'O14807'], ['Q9UQ13', 'P36873'], ['O14807', 'P36873']]
7SJ9: [['P68363', 'Q13509'], ['P68363', 'Q9UPY8'], ['Q13509', 'Q9UPY8']]
7SL7: [['P01308', 'P01308'], ['P01308', 'P01308'], ['P01308', 'P01308']]
7SR8: [['P62873', 'P59768'], ['P62873', 'O43614'], ['P59768', 'O43614']]
7SRR: [['P62873', 'P59768'], ['P62873', 'P41595'], ['P59768', 'P41595']]
7STX: [['P61599', 'Q14CX7'], ['P61599', 'P37840'], ['Q14CX7', 'P37840']]
7SU3: [['P78527', 'P12956'], ['P78527', 'P13010'], ['P12956', 'P13010']]
7T0W: [['P47870', 'P14867'], ['P47870', 'P18507'], ['P14867', 'P18507']]
7T0Z: [['P47870', 'P14867'], ['P47870', 'P18507'], ['P14867', 'P18507']]
7T1Y: [['P63208', 'Q969H0'], ['P63208', 'P01106'], ['Q969H0', 'P01106']]
7T1Z: [['P63208', 'Q969H0'], ['P63208', 'P01106'], ['Q969H0', 'P01106']]
7T2G: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7T2H: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7T5M: [['Q861F7', 'P61769'], ['Q861F7', 'Q6UWB1'], ['P61769', 'Q6UWB1']]
7TPS: [['P33681', 'Q9NZQ7'], ['P33681', 'Q9NZQ7'], ['Q9NZQ7', 'Q9NZQ7']]
7TR4: [['A0A140T9X5', 'P61769'], ['A0A140T9X5', 'Q16655'], ['P61769', 'Q16655']]
7TRY: [['Q13324', 'P55089'], ['Q13324', 'P29992'], ['P55089', 'P29992']]
7TUE: [['D5H3J5', 'O15533'], ['D5H3J5', 'P61769'], ['O15533', 'P61769']]
7TV4: [['Q9Y6K9', 'P0CG48'], ['Q9Y6K9', 'Q96EP0'], ['P0CG48', 'Q96EP0']]
7TVF: [['O14807', 'P62136'], ['O14807', 'Q9UQ13'], ['P62136', 'Q9UQ13']]
7TW3: [['P02730', 'P16452'], ['P02730', 'P16157'], ['P16452', 'P16157']]
7TW5: [['P02730', 'P16452'], ['P02730', 'P16157'], ['P16452', 'P16157']]
7TW6: [['P02730', 'P16452'], ['P02730', 'P16157'], ['P16452', 'P16157']]
7TXH: [['O14807', 'Q9UQ13'], ['O14807', 'P62136'], ['Q9UQ13', 'P62136']]
7U21: [['A0A140T913', 'P61769'], ['A0A140T913', 'Q15124'], ['P61769', 'Q15124']]
7U2K: [['P62873', 'P59768'], ['P62873', 'P63096'], ['P59768', 'P63096']]
7U2L: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7U6E: [['P01308', 'P01308'], ['P01308', 'P06213'], ['P01308', 'P06213']]
7U8F: [['Q96SW2', 'Q16531'], ['Q96SW2', 'Q53SU9'], ['Q16531', 'Q53SU9']]
7U9T: [['P68106', 'Q92736'], ['P68106', 'P0DP23'], ['Q92736', 'P0DP23']]
7UA3: [['Q92736', 'P68106'], ['Q92736', 'P0DP23'], ['P68106', 'P0DP23']]
7UA4: [['Q92736', 'P68106'], ['Q92736', 'P0DP23'], ['P68106', 'P0DP23']]
7UHF: [['Q01668', 'P54289'], ['Q01668', 'P54284'], ['P54289', 'P54284']]
7UHG: [['P54284', 'Q01668'], ['P54284', 'P54289'], ['Q01668', 'P54289']]
7UM5: [['P47898', 'P62873'], ['P47898', 'P59768'], ['P62873', 'P59768']]
7UM6: [['P47898', 'P62873'], ['P47898', 'P59768'], ['P62873', 'P59768']]
7UM7: [['P47898', 'P62873'], ['P47898', 'P59768'], ['P62873', 'P59768']]
7UMG: [['Q95460', 'P61769'], ['Q95460', 'P01732'], ['P61769', 'P01732']]
7UN1: [['Q96E40', 'P68371'], ['Q96E40', 'Q71U36'], ['P68371', 'Q71U36']]
7UPI: [['O14807', 'P62136'], ['O14807', 'Q9UQ13'], ['P62136', 'Q9UQ13']]
7UPN: [['P62937', 'Q15369'], ['P62937', 'Q15370'], ['Q15369', 'Q15370']]
7UWL: [['Q9H293', 'Q9NRM6'], ['Q9H293', 'Q96F46'], ['Q9NRM6', 'Q96F46']]
7UWN: [['Q16552', 'Q96F46'], ['Q16552', 'Q8NAC3'], ['Q96F46', 'Q8NAC3']]
7UZQ: [['P18577', 'Q02094'], ['P18577', 'P16157'], ['Q02094', 'P16157']]
7V0S: [['P18577', 'Q02094'], ['P18577', 'P16157'], ['Q02094', 'P16157']]
7V3P: [['P08069', 'P01308'], ['P08069', 'P01308'], ['P01308', 'P01308']]
7V7C: [['Q16531', 'P13051'], ['Q16531', 'Q9Y4B6'], ['P13051', 'Q9Y4B6']]
7V9L: [['P63096', ' P63092'], ['P63096', 'Q9HB45'], [' P63092', 'Q9HB45']]
7V9M: [['P63092', 'P01286'], ['P63092', 'Q9HB45'], ['P01286', 'Q9HB45']]
7VAB: [['P48546', 'P63096'], ['P48546', ' P63092'], ['P63096', ' P63092']]
7VCQ: [['P84243', 'P62805'], ['P84243', 'Q9NVP2'], ['P62805', 'Q9NVP2']]
7VF2: [['Q69YN4', 'Q5T200'], ['Q69YN4', 'Q15007'], ['Q5T200', 'Q15007']]
7VFS: [['Q00975', 'Q02641'], ['Q00975', 'P54289'], ['Q02641', 'P54289']]
7VFU: [['Q00975', 'Q02641'], ['Q00975', 'P54289'], ['Q02641', 'P54289']]
7VFV: [['P54289', 'Q02641'], ['P54289', 'Q00975'], ['Q02641', 'Q00975']]
7VFW: [['Q00975', 'Q02641'], ['Q00975', 'P54289'], ['Q02641', 'P54289']]
7VGE: [['O43464', 'O43464'], ['O43464', 'O43464'], ['O43464', 'O43464']]
7VMB: [['Q6DN90', 'Q6DN90'], ['Q6DN90', 'P0DP23'], ['Q6DN90', 'P0DP23']]
7VOI: [['Q9UIV1', 'A5YKK6'], ['Q9UIV1', 'Q96LI5'], ['A5YKK6', 'Q96LI5']]
7VUG: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7VUH: [['P62873', 'P59768'], ['P62873', 'P63092'], ['P59768', 'P63092']]
7VUI: [['P63092', 'P62873'], ['P63092', 'P59768'], ['P62873', 'P59768']]
7VUJ: [['P63092', 'P62873'], ['P63092', 'P59768'], ['P62873', 'P59768']]
7VVJ: [['P63092', 'P12272'], ['P63092', 'Q03431'], ['P12272', 'Q03431']]
7VVK: [['P63092', 'P01270'], ['P63092', 'Q03431'], ['P01270', 'Q03431']]
7VVL: [['P63092', 'P01270'], ['P63092', 'Q03431'], ['P01270', 'Q03431']]
7VVM: [['P63092', 'P01270'], ['P63092', 'Q03431'], ['P01270', 'Q03431']]
7VVN: [['P63092', 'P01270'], ['P63092', 'Q03431'], ['P01270', 'Q03431']]
7VVO: [['P63092', 'P01270'], ['P63092', 'Q03431'], ['P01270', 'Q03431']]
7W0L: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7W0M: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7W40: [['P50148', 'P62873'], ['P50148', 'P59768'], ['P62873', 'P59768']]
7W6A: [['Q9UBL3', 'Q03164'], ['Q9UBL3', 'Q15291'], ['Q03164', 'Q15291']]
7W77: [['Q07699', 'O60939'], ['Q07699', 'Q9NY46'], ['O60939', 'Q9NY46']]
7W7F: [['Q07699', 'O60939'], ['Q07699', 'Q9NY46'], ['O60939', 'Q9NY46']]
7W9K: [['Q15858', 'Q07699'], ['Q15858', 'O60939'], ['Q07699', 'O60939']]
7W9L: [['Q15858', 'Q07699'], ['Q15858', 'O60939'], ['Q07699', 'O60939']]
7W9M: [['Q15858', 'O60939'], ['Q15858', 'Q07699'], ['O60939', 'Q07699']]
7W9P: [['Q15858', 'Q07699'], ['Q15858', 'O60939'], ['Q07699', 'O60939']]
7W9T: [['Q15858', 'Q07699'], ['Q15858', 'O60939'], ['Q07699', 'O60939']]
7WF3: [['P22001', 'Q13303'], ['P22001', 'P22001'], ['Q13303', 'P22001']]
7WF4: [['P22001', 'Q13303'], ['P22001', 'P22001'], ['Q13303', 'P22001']]
7WHZ: [['A0A5C2G4I7', 'A0A5C2GTV1'], ['A0A5C2G4I7', 'A0A5C2GVU3'], ['A0A5C2GTV1', 'A0A5C2GVU3']]
7WIC: [['P61278', 'P30874'], ['P61278', 'P63096'], ['P30874', 'P63096']]
7WKJ: [['A0A6M6CC39', 'P61769'], ['A0A6M6CC39', 'P0DTC9'], ['P61769', 'P0DTC9']]
7WQ3: [['P47211', 'P63096'], ['P47211', 'P22466'], ['P63096', 'P22466']]
7WQ4: [['O43603', 'P22466'], ['O43603', 'P63092'], ['P22466', 'P63092']]
7WRQ: [['P35858', 'P17936'], ['P35858', 'P05019'], ['P17936', 'P05019']]
7WSO: [['A0A0A0MS08', 'P11912'], ['A0A0A0MS08', 'P40259'], ['P11912', 'P40259']]
7WUB: [['P55072', 'P55072'], ['P55072', 'P55072'], ['P55072', 'P55072']]
7WUQ: [['P63092', 'P62873'], ['P63092', 'P59768'], ['P62873', 'P59768']]
7WXU: [['P62873', 'P59768'], ['P62873', 'Q5T601'], ['P59768', 'Q5T601']]
7WXW: [['Q5T601', 'P59768'], ['Q5T601', 'P62873'], ['P59768', 'P62873']]
7WY0: [['P62873', 'P59768'], ['P62873', 'Q5T601'], ['P59768', 'Q5T601']]
7WYB: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7WZ7: [['P62873', 'P59768'], ['P62873', 'Q5T601'], ['P59768', 'Q5T601']]
7X5H: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7XD0: [['P62805', 'P04908'], ['P62805', 'Q71DI3'], ['P04908', 'Q71DI3']]
7XKF: [['P63092', 'P62873'], ['P63092', 'P59768'], ['P62873', 'P59768']]
7XLQ: [['P54289', 'Q15878'], ['P54289', 'Q02641'], ['Q15878', 'Q02641']]
7XP4: [['P63092', 'P62873'], ['P63092', 'P59768'], ['P62873', 'P59768']]
7XP5: [['P63092', 'P62873'], ['P63092', 'P59768'], ['P62873', 'P59768']]
7XP6: [['P63092', 'P62873'], ['P63092', 'P59768'], ['P62873', 'P59768']]
7XT6: [['P11912', 'P01871'], ['P11912', 'P40259'], ['P01871', 'P40259']]
7XUR: [['Q5SXM2', 'Q92966'], ['Q5SXM2', 'Q16533'], ['Q92966', 'Q16533']]
7XV3: [['Q9BXC1', 'P59768'], ['Q9BXC1', 'P62873'], ['P59768', 'P62873']]
7XVE: [['Q15858', 'Q07699'], ['Q15858', 'O60939'], ['Q07699', 'O60939']]
7XVF: [['Q15858', 'Q07699'], ['Q15858', 'O60939'], ['Q07699', 'O60939']]
7XXH: [['P47900', 'P62873'], ['P47900', 'P59768'], ['P62873', 'P59768']]
7XY6: [['P63092', 'P62873'], ['P63092', 'P59768'], ['P62873', 'P59768']]
7XY7: [['P63092', 'P62873'], ['P63092', 'P59768'], ['P62873', 'P59768']]
7XZ5: [['P63092', 'P62873'], ['P63092', 'P59768'], ['P62873', 'P59768']]
7XZ6: [['P63092', 'P62873'], ['P63092', 'P59768'], ['P62873', 'P59768']]
7Y1T: [['P06756', 'P26012'], ['P06756', 'P01137'], ['P26012', 'P01137']]
7Y26: [['P62873', 'P30874'], ['P62873', 'P59768'], ['P30874', 'P59768']]
7Y36: [['Q03431', 'P01270'], ['Q03431', 'P63092-2'], ['P01270', 'P63092-2']]
7Y5K: [['Q13111', 'Q09028'], ['Q13111', 'Q13112'], ['Q09028', 'Q13112']]
7Y5L: [['Q13111', 'Q13112'], ['Q13111', 'Q09028'], ['Q13112', 'Q09028']]
7Y5O: [['Q13111', 'Q13112'], ['Q13111', 'Q09028'], ['Q13112', 'Q09028']]
7Y7I: [['P62805', 'P04908'], ['P62805', 'P06899'], ['P04908', 'P06899']]
7Y89: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7YDH: [['P62873', 'P59768'], ['P62873', 'P48960'], ['P59768', 'P48960']]
7YDJ: [['P62873', 'P59768'], ['P62873', 'P48960'], ['P59768', 'P48960']]
7YDM: [['P62873', 'P59768'], ['P62873', 'P48960'], ['P59768', 'P48960']]
7YDP: [['P48960', 'P59768'], ['P48960', 'P62873'], ['P59768', 'P62873']]
7YFC: [['P59768', 'Q9H3N8'], ['P59768', 'P62873'], ['Q9H3N8', 'P62873']]
7YFD: [['P62873', 'Q9H3N8'], ['P62873', 'P59768'], ['Q9H3N8', 'P59768']]
7YK6: [['P04899', 'Q8TDU9'], ['P04899', 'P62873'], ['Q8TDU9', 'P62873']]
7YK7: [['P04899', 'Q8TDU9'], ['P04899', 'P62873'], ['Q8TDU9', 'P62873']]
7YP7: [['P63092', 'P62873'], ['P63092', 'P59768'], ['P62873', 'P59768']]
7YQ3: [['P01308', 'F8WCM5'], ['P01308', 'P06213'], ['F8WCM5', 'P06213']]
7YQ4: [['P06213', 'F8WCM5'], ['P06213', 'P01308'], ['F8WCM5', 'P01308']]
7YQ5: [['P01308', 'F8WCM5'], ['P01308', 'P06213'], ['F8WCM5', 'P06213']]
7YSH: [['Q9UEF7', 'Q9GZV9'], ['Q9UEF7', 'P11362'], ['Q9GZV9', 'P11362']]
7YSU: [['Q9UEF7', 'P22607'], ['Q9UEF7', 'Q9GZV9'], ['P22607', 'Q9GZV9']]
7YSW: [['P22455', 'Q9UEF7'], ['P22455', 'Q9GZV9'], ['Q9UEF7', 'Q9GZV9']]
7YTC: [['P01871', 'P01591'], ['P01871', 'O60667'], ['P01591', 'O60667']]
7YTD: [['P01871', 'P01591'], ['P01871', 'O60667'], ['P01591', 'O60667']]
7YX9: [['P01903', 'A0A4E9DJJ3'], ['P01903', 'P04233'], ['A0A4E9DJJ3', 'P04233']]
7YXB: [['P01903', 'A0A1V1IGJ9'], ['P01903', 'P04233'], ['A0A1V1IGJ9', 'P04233']]
7Z0Q: [['P01903', 'D7RIG5'], ['P01903', 'P04233'], ['D7RIG5', 'P04233']]
7Z37: [['P08238', 'P04049'], ['P08238', 'Q16543'], ['P04049', 'Q16543']]
7Z38: [['P08238', 'P04049'], ['P08238', 'Q16543'], ['P04049', 'Q16543']]
